vt_PGAout X,vt_PGAout Y,vt_muxOut X,vt_muxOut Y,t_ADC_INN X,t_ADC_INN Y,t_ext_in1 X,t_ext_in1 Y,/EXT_IN<1> X,/EXT_IN<1> Y
4.83388954e-09,0.416808741740358,4.83388954e-09,0.2570406936204938,4.83388954e-09,0.2769241543756743,4.83388954e-09,0,4.83388954e-09,0
4.9231389697e-09,0.4244404956831042,4.9231389697e-09,0.2598679575900901,4.9231389697e-09,0.2816734764220301,4.9231389697e-09,0,4.9231389697e-09,0
5.101637829e-09,0.4395810278495331,5.101637829e-09,0.2631282863066173,5.101637829e-09,0.2909452596867393,5.101637829e-09,0,5.101637829e-09,0
5.1908872587e-09,0.4470654206430204,5.1908872587e-09,0.2631938513386042,5.1908872587e-09,0.2954531697650982,5.1908872587e-09,0,5.1908872587e-09,0
5.3693861181e-09,0.4615449856663488,5.3693861181e-09,0.2555565022060901,5.3693861181e-09,0.3041262015449573,5.3693861181e-09,0,5.3693861181e-09,0
5.4586355478e-09,0.4684557506803561,5.4586355478e-09,0.2465883128728097,5.4586355478e-09,0.3083081549046107,5.4586355478e-09,0,5.4586355478e-09,0
5.6371344071e-09,0.4809032793009848,5.6371344071e-09,0.2059404627732581,5.6371344071e-09,0.3163784542610106,5.6371344071e-09,0,5.6371344071e-09,0
5.7263838368e-09,0.4863735154000903,5.7263838368e-09,0.1730797916579493,5.7263838368e-09,0.3202383315663018,5.7263838368e-09,0,5.7263838368e-09,0
5.9048826962e-09,0.4958725736984599,5.9048826962e-09,0.09787908330756791,5.9048826962e-09,0.3271270771930015,5.9048826962e-09,0,5.9048826962e-09,0
5.9941321259e-09,0.499976461733212,5.9941321259e-09,0.06440312003086121,5.9941321259e-09,0.330127025200963,5.9941321259e-09,0,5.9941321259e-09,0
6.1726309852e-09,0.5073807188117031,6.1726309852e-09,0.03332721716668723,6.1726309852e-09,0.3347387301665439,6.1726309852e-09,0,6.1726309852e-09,0
6.5048668475e-09,0.5191912498647484,6.5048668475e-09,0.03007979299915372,6.5048668475e-09,0.3357863907812154,6.5048668475e-09,0,6.5048668475e-09,0
6.600776691e-09,0.5223081827990923,6.600776691e-09,0.03259017767761844,6.600776691e-09,0.333702407710805,6.600776691e-09,0,6.600776691e-09,0
6.792596378e-09,0.5283640890984692,6.792596378e-09,0.03882042419325191,6.792596378e-09,0.3263461314253641,6.792596378e-09,0,6.792596378e-09,0
7.1762357521e-09,0.5406129801903438,7.1762357521e-09,0.05060308550420378,7.1762357521e-09,0.3109463347950214,7.1762357521e-09,0,7.1762357521e-09,0
7.779885968800001e-09,0.5631575575359351,7.779885968800001e-09,0.07729429250336731,7.779885968800001e-09,0.3001046329068388,7.779885968800001e-09,0,7.779885968800001e-09,0
7.938647879099999e-09,0.5698619019775752,7.938647879099999e-09,0.08283717911583362,7.938647879099999e-09,0.2971420975604603,7.938647879099999e-09,0,7.938647879099999e-09,0
8.2561716996e-09,0.5809901993876633,8.2561716996e-09,0.08824049235994644,8.2561716996e-09,0.2934264542367102,8.2561716996e-09,0,8.2561716996e-09,0
8.4149336099e-09,0.5837807566065897,8.4149336099e-09,0.0896151506390867,8.4149336099e-09,0.2918118266329994,8.4149336099e-09,0,8.4149336099e-09,0
8.732457430499999e-09,0.5801447530313241,8.732457430499999e-09,0.09271576198983397,8.732457430499999e-09,0.2735669106596494,8.732457430499999e-09,0,8.732457430499999e-09,0
8.8528672858e-09,0.574357821306138,8.8528672858e-09,0.09397430692756185,8.8528672858e-09,0.2604768549693766,8.8528672858e-09,0,8.8528672858e-09,0
9.0936869966e-09,0.5556121163480243,9.0936869966e-09,0.09613154345506583,9.0936869966e-09,0.2368439826787198,9.0936869966e-09,0,9.0936869966e-09,0
9.3523972304e-09,0.5329034364677246,9.3523972304e-09,0.09880195923423933,9.3523972304e-09,0.2321223443364841,9.3523972304e-09,0,9.3523972304e-09,0
9.4178965115e-09,0.5272059527142992,9.4178965115e-09,0.0996102860044901,9.4178965115e-09,0.2342908521448664,9.4178965115e-09,0,9.4178965115e-09,0
9.548895073700001e-09,0.5194022266288659,9.548895073700001e-09,0.1018986823646607,9.548895073700001e-09,0.2483446801277471,9.548895073700001e-09,0,9.548895073700001e-09,0
9.597079776899999e-09,0.5179051999095066,9.597079776899999e-09,0.1029962477442508,9.597079776899999e-09,0.258179132976842,9.597079776899999e-09,0,9.597079776899999e-09,0
9.6840533969e-09,0.5184679580730052,9.6840533969e-09,0.1055615741477465,9.6840533969e-09,0.2938106057208728,9.6840533969e-09,0,9.6840533969e-09,0
9.794015971699999e-09,0.5254359527346678,9.794015971699999e-09,0.1097767071517051,9.794015971699999e-09,0.3661122628557352,9.794015971699999e-09,0,9.794015971699999e-09,0
9.8986640572e-09,0.5368123756710872,9.8986640572e-09,0.1140403145018305,9.8986640572e-09,0.4446160581062685,9.8986640572e-09,0,9.8986640572e-09,0
1e-08,0.5503760588608237,1e-08,0.1177578124313981,1e-08,0.5188540034282616,1e-08,0,1e-08,0
1.01003351832e-08,0.5555354816419341,1.01003351832e-08,0.1164456590033952,1.01003351832e-08,0.5695417640913671,1.01003351832e-08,0,1.01003351832e-08,0
1.01350819468e-08,0.5572396234628609,1.01350819468e-08,0.1160025030439913,1.01350819468e-08,0.5867413984378126,1.01350819468e-08,0,1.01350819468e-08,0
1.0204575474e-08,0.5602942063140994,1.0204575474e-08,0.1150537136041293,1.0204575474e-08,0.6208226952843774,1.0204575474e-08,0,1.0204575474e-08,0
1.03402336136e-08,0.5655231976910413,1.03402336136e-08,0.112709252759269,1.03402336136e-08,0.6918239711554983,1.03402336136e-08,0,1.03402336136e-08,0
1.0471131148e-08,0.5704988278528655,1.0471131148e-08,0.1098799222216499,1.0471131148e-08,0.7593197538500491,1.0471131148e-08,0,1.0471131148e-08,0
1.05177889747e-08,0.5723114729687472,1.05177889747e-08,0.1087582580133186,1.05177889747e-08,0.781363589976981,1.05177889747e-08,0,1.05177889747e-08,0
1.0611104628e-08,0.576209694870466,1.0611104628e-08,0.1064279855862357,1.0611104628e-08,0.815402871630959,1.0611104628e-08,0,1.0611104628e-08,0
1.07977359346e-08,0.5848511865847891,1.07977359346e-08,0.1014872892996622,1.07977359346e-08,0.8529949245750998,1.07977359346e-08,0,1.07977359346e-08,0
1.11007239433e-08,0.6008027734272054,1.11007239433e-08,0.09356545182889274,1.11007239433e-08,0.8735624985681378,1.11007239433e-08,0,1.11007239433e-08,0
1.12353187477e-08,0.6086470136687496,1.12353187477e-08,0.09049756133879956,1.12353187477e-08,0.8734925411348079,1.12353187477e-08,0,1.12353187477e-08,0
1.15045083564e-08,0.6199542821391545,1.15045083564e-08,0.08499265235086385,1.15045083564e-08,0.9345677008077691,1.15045083564e-08,0,1.15045083564e-08,0
1.18469457029e-08,0.6285726259393855,1.18469457029e-08,0.07772061573437627,1.18469457029e-08,0.9917233318985966,1.18469457029e-08,0,1.18469457029e-08,0
