/I27/G<2> X,/I27/G<2> Y,/I27/G<1> X,/I27/G<1> Y,/I27/G<0> X,/I27/G<0> Y
0,0,0,0,0,0
1.25e-09,0,1.25e-09,0.15,1.25e-09,0
2.0729679011e-09,0,2.0729679011e-09,0.2487561481331596,2.0729679011e-09,0
3.7189037033e-09,0,3.7189037033e-09,0.4462684443994787,3.7189037033e-09,0
4.1916666666e-09,0,4.1916666666e-09,0.5030000000000001,4.1916666666e-09,0
4.288048e-09,0,4.288048e-09,0.51456576,4.288048e-09,0
4.3916666666e-09,0,4.3916666666e-09,0.5270000000000001,4.3916666666e-09,0
4.488048e-09,0,4.488048e-09,0.53856576,4.488048e-09,0
4.4992041787e-09,0,4.4992041787e-09,0.5399045014454333,4.4992041787e-09,0
4.5215165361e-09,0,4.5215165361e-09,0.5425819843363001,4.5215165361e-09,0
4.566141250899999e-09,0,4.566141250899999e-09,0.5479369501180336,4.566141250899999e-09,0
4.6553906806e-09,0,4.6553906806e-09,0.5586468816815005,4.6553906806e-09,0
4.83388954e-09,0,4.83388954e-09,0.5800667448084342,4.83388954e-09,0
4.9231389697e-09,0,4.9231389697e-09,0.5907766763719011,4.9231389697e-09,0
5.1016378291e-09,0,5.1016378291e-09,0.6121965394988349,5.1016378291e-09,0
5.1908872588e-09,0,5.1908872588e-09,0.6229064710623018,5.1908872588e-09,0
5.3693861182e-09,0,5.3693861182e-09,0.6443263341892356,5.3693861182e-09,0
5.4586355479e-09,0,5.4586355479e-09,0.6550362657527025,5.4586355479e-09,0
5.6371344073e-09,0,5.6371344073e-09,0.6764561288796362,5.6371344073e-09,0
5.726383837e-09,0,5.726383837e-09,0.6871660604431031,5.726383837e-09,0
5.9048826964e-09,0,5.9048826964e-09,0.7085859235700369,5.9048826964e-09,0
5.9941321261e-09,0,5.9941321261e-09,0.7192958551335038,5.9941321261e-09,0
6.1726309855e-09,0,6.1726309855e-09,0.7407157182604376,6.1726309855e-09,0
6.504869708e-09,0,6.504869708e-09,0.7805843649615574,6.504869708e-09,0
6.6007797967e-09,0,6.6007797967e-09,0.7920935756051214,6.6007797967e-09,0
6.7925999741e-09,0,6.7925999741e-09,0.8151119968922494,6.7925999741e-09,0
7.1762403288e-09,0,7.1762403288e-09,0.8611488394665056,7.1762403288e-09,0
7.779724122299999e-09,0,7.779724122299999e-09,0.9335668946819716,7.779724122299999e-09,0
7.9383828613e-09,0,7.9383828613e-09,0.9526059433654522,7.9383828613e-09,0
8.255700339400001e-09,0,8.255700339400001e-09,0.9906840407324136,8.255700339400001e-09,0
8.4143590784e-09,0,8.4143590784e-09,1.009723089415894,8.4143590784e-09,0
8.7316765565e-09,0,8.7316765565e-09,1.047801186782856,8.7316765565e-09,0
8.852194343399999e-09,0,8.852194343399999e-09,1.062263321214789,8.852194343399999e-09,0
9.093229917299999e-09,0,9.093229917299999e-09,1.091187590078656,9.093229917299999e-09,0
9.3529727349e-09,0,9.3529727349e-09,1.122356728197534,9.3529727349e-09,0
9.4185178007e-09,0,9.4185178007e-09,1.130222136095283,9.4185178007e-09,0
9.5496079324e-09,0,9.5496079324e-09,1.145952951890781,9.5496079324e-09,0
9.5977040995e-09,0,9.5977040995e-09,1.15172449194721,9.5977040995e-09,0
9.684774820699999e-09,0,9.684774820699999e-09,1.162172978494447,9.684774820699999e-09,0
9.7944979219e-09,0,9.7944979219e-09,1.175339750633677,9.7944979219e-09,0
9.8987279404e-09,0,9.8987279404e-09,1.187847352853239,9.8987279404e-09,0
1e-08,0,1e-08,1.2,1e-08,0
1.0100179809e-08,0,1.0100179809e-08,1.2,1.0100179809e-08,0
1.01347293248e-08,0,1.01347293248e-08,1.2,1.01347293248e-08,0
1.02038283564e-08,0,1.02038283564e-08,1.2,1.02038283564e-08,0
1.03386316866e-08,0,1.03386316866e-08,1.2,1.03386316866e-08,0
1.04686828198e-08,0,1.04686828198e-08,1.2,1.04686828198e-08,0
1.05151456779e-08,0,1.05151456779e-08,1.2,1.05151456779e-08,0
1.0608071394e-08,0,1.0608071394e-08,1.2,1.0608071394e-08,0
1.07939228261e-08,0,1.07939228261e-08,1.2,1.07939228261e-08,0
1.10929754959e-08,0,1.10929754959e-08,1.2,1.10929754959e-08,0
1.1225459906e-08,0,1.1225459906e-08,1.2,1.1225459906e-08,0
1.14904287261e-08,0,1.14904287261e-08,1.2,1.14904287261e-08,0
1.18364916424e-08,0,1.18364916424e-08,1.2,1.18364916424e-08,0
1.21497720588e-08,0,1.21497720588e-08,1.2,1.21497720588e-08,0
1.22454240136e-08,0,1.22454240136e-08,1.2,1.22454240136e-08,0
1.24367279231e-08,0,1.24367279231e-08,1.2,1.24367279231e-08,0
1.28193357422e-08,0,1.28193357422e-08,1.2,1.28193357422e-08,0
1.34058687313e-08,0,1.34058687313e-08,1.2,1.34058687313e-08,0
1.45789347096e-08,0,1.45789347096e-08,1.2,1.45789347096e-08,0
1.50900087592e-08,0,1.50900087592e-08,1.2,1.50900087592e-08,0
1.61121568585e-08,0,1.61121568585e-08,1.2,1.61121568585e-08,0
1.66232309081e-08,0,1.66232309081e-08,1.2,1.66232309081e-08,0
1.76453790073e-08,0,1.76453790073e-08,1.2,1.76453790073e-08,0
1.88226895036e-08,0,1.88226895036e-08,1.2,1.88226895036e-08,0
2e-08,0,2e-08,1.2,2e-08,0
2.23546209926e-08,0,2.23546209926e-08,1.2,2.23546209926e-08,0
2.3531931489e-08,0,2.3531931489e-08,1.2,2.3531931489e-08,0
